Ticker,Period,Net profit
BTC,2022-10-25 15:30:00,4034.08
BTC,2022-10-28 16:00:00,484.08
BTC,2022-10-31 15:30:00,-840.92
BTC,2022-11-04 15:45:00,-2515.92
BTC,2022-11-11 15:30:00,359.08
BTC,2022-11-14 15:30:00,59.08
BTC,2022-11-22 15:30:00,109.08
BTC,2022-11-25 16:15:00,59.08
BTC,2022-11-30 16:15:00,2159.08
BTC,2022-12-01 16:15:00,-915.92
BTC,2022-12-06 16:15:00,-815.92
BTC,2022-12-09 16:15:00,-340.92
BTC,2022-12-14 15:45:00,-765.92
BTC,2022-12-22 16:15:00,-840.92
BTC,2022-12-27 16:15:00,509.08
BTC,2023-01-05 15:45:00,109.08
BTC,2023-01-10 15:45:00,934.08
BTC,2023-01-11 16:15:00,2859.08
BTC,2023-01-13 15:45:00,4384.08
BTC,2023-01-16 16:00:00,1609.08
BTC,2023-01-17 15:45:00,-765.92
BTC,2023-01-25 16:15:00,-2515.92
BTC,2023-01-26 15:45:00,-940.92
BTC,2023-01-27 16:15:00,259.08
BTC,2023-02-02 15:45:00,-2515.92
BTC,2023-02-06 15:30:00,159.08
BTC,2023-02-08 15:45:00,359.08
BTC,2023-02-14 16:15:00,-215.92
BTC,2023-02-17 16:00:00,1359.08
BTC,2023-02-22 15:45:00,859.08
BTC,2023-03-08 15:30:00,1459.08
BTC,2023-03-10 15:45:00,-440.92
BTC,2023-03-13 15:45:00,3709.08
BTC,2023-03-16 16:15:00,634.08
BTC,2023-03-31 15:45:00,1009.08
BTC,2023-04-04 16:15:00,-115.92
BTC,2023-04-28 16:15:00,-1640.92
BTC,2023-05-01 16:15:00,1834.08
BTC,2023-05-02 15:45:00,-2515.92
BTC,2023-05-05 16:15:00,1984.08
BTC,2023-05-09 16:00:00,184.08
BTC,2023-05-10 15:30:00,-2515.92
BTC,2023-05-22 15:30:00,-340.92
BTC,2023-05-24 16:15:00,-65.92
BTC,2023-05-25 16:15:00,-665.92
BTC,2023-05-26 16:15:00,1109.08
BTC,2023-05-30 15:45:00,-2515.92
BTC,2023-06-01 16:00:00,484.08
BTC,2023-06-08 15:45:00,-565.92
BTC,2023-06-12 15:45:00,-240.92
BTC,2023-06-19 16:00:00,1509.08
BTC,2023-06-21 16:00:00,4359.08
BTC,2023-06-22 15:45:00,-2515.92
BTC,2023-06-29 15:45:00,-1390.92
BTC,2023-06-30 16:15:00,-2515.92
BTC,2023-07-05 15:30:00,-1240.92
BTC,2023-07-06 16:15:00,2659.08
BTC,2023-07-10 16:00:00,559.08
BTC,2023-07-13 16:15:00,4109.08
BTC,2023-07-24 16:15:00,-115.92
BTC,2023-07-26 16:15:00,-265.92
BTC,2023-08-09 15:30:00,-2515.92
BTC,2023-08-10 16:15:00,-1490.92
BTC,2023-08-14 15:45:00,-615.92
BTC,2023-08-17 16:15:00,8634.08
BTC,2023-08-22 15:30:00,-90.92
BTC,2023-08-23 15:30:00,-2515.92
BTC,2023-08-29 16:15:00,8609.08
BTC,2023-09-01 16:15:00,859.08
BTC,2023-09-12 16:15:00,-2515.92
BTC,2023-09-14 15:30:00,-40.92
BTC,2023-09-21 16:00:00,-1065.92
BTC,2023-09-22 15:30:00,434.08
BTC,2023-10-04 15:30:00,-1265.92
BTC,2023-10-05 15:30:00,-2515.92
BTC,2023-10-06 15:30:00,-2515.92
BTC,2023-10-10 15:30:00,-140.92
BTC,2023-10-12 16:00:00,-240.92
BTC,2023-10-16 16:00:00,1859.08
BTC,2023-10-25 15:45:00,259.08
BTC,2023-11-06 15:45:00,-565.92
BTC,2023-11-09 15:30:00,-2515.92
BTC,2023-11-13 16:15:00,1359.08
