Ticker,Period,Net profit
NQ,2020-02-25 16:00:00,-4970.68
NQ,2020-02-26 16:00:00,-3535.68
NQ,2020-02-27 16:00:00,-6355.68
NQ,2020-02-28 16:00:00,6264.32
NQ,2020-03-10 15:00:00,3834.32
NQ,2020-05-15 16:00:00,2309.32
NQ,2020-07-24 16:00:00,2059.32
NQ,2020-07-27 16:00:00,1494.32
NQ,2020-08-12 16:00:00,2554.32
NQ,2020-09-08 16:00:00,-2285.68
NQ,2020-09-09 16:00:00,2164.32
NQ,2020-09-21 16:00:00,4074.32
NQ,2020-10-16 16:00:00,-3255.68
NQ,2020-10-19 16:00:00,-5.68
NQ,2020-10-28 15:00:00,-3250.68
NQ,2021-02-19 16:00:00,-1935.68
NQ,2021-02-22 16:00:00,-3680.68
NQ,2021-02-23 16:00:00,6604.32
NQ,2021-02-24 16:00:00,5689.32
NQ,2021-02-25 16:00:00,-9245.68
NQ,2021-03-05 16:00:00,3154.32
NQ,2021-03-26 15:00:00,3319.32
NQ,2021-04-30 16:00:00,-170.68
NQ,2021-05-05 16:00:00,-3195.68
NQ,2021-05-06 16:00:00,2664.32
NQ,2021-05-13 16:00:00,-555.68
NQ,2021-06-03 16:00:00,804.32
NQ,2021-07-20 16:00:00,3819.32
NQ,2021-09-13 16:00:00,-95.68
NQ,2021-09-15 16:00:00,3314.32
NQ,2021-10-01 16:00:00,2914.32
NQ,2021-11-11 16:00:00,-575.68
NQ,2021-12-21 16:00:00,5019.32
NQ,2022-01-07 16:00:00,-4610.68
NQ,2022-01-10 16:00:00,5939.32
NQ,2022-01-11 16:00:00,6529.32
NQ,2022-01-20 16:00:00,-10655.68
NQ,2022-01-21 16:00:00,-5220.68
NQ,2022-01-24 16:00:00,7339.32
NQ,2022-01-25 16:00:00,-5765.68
NQ,2022-02-21 16:00:00,-1720.68
NQ,2022-02-22 16:00:00,-1175.68
NQ,2022-03-08 16:00:00,-2935.68
NQ,2022-03-15 15:00:00,6674.32
NQ,2022-04-08 16:00:00,-875.68
NQ,2022-04-13 16:00:00,3839.32
NQ,2022-04-25 16:00:00,5239.32
NQ,2022-05-10 16:00:00,-1285.68
NQ,2022-05-24 16:00:00,1304.32
NQ,2022-06-13 16:00:00,-3725.68
NQ,2022-06-14 16:00:00,1309.32
NQ,2022-06-30 16:00:00,1414.32
NQ,2022-07-14 16:00:00,4969.32
NQ,2022-07-27 16:00:00,4239.32
NQ,2022-08-19 16:00:00,-1905.68
NQ,2022-08-24 16:00:00,1184.32
NQ,2022-08-31 16:00:00,-3590.68
NQ,2022-09-01 16:00:00,1899.32
NQ,2022-09-20 16:00:00,984.32
NQ,2022-09-23 16:00:00,-425.68
NQ,2022-09-26 16:00:00,-2240.68
NQ,2022-10-10 16:00:00,-1040.68
NQ,2022-10-11 16:00:00,19.32
NQ,2022-10-12 16:00:00,-1525.68
NQ,2022-10-13 16:00:00,10789.32
NQ,2022-11-03 15:00:00,-1275.68
NQ,2022-11-04 15:00:00,2594.32
NQ,2022-11-21 16:00:00,-1275.68
NQ,2022-11-22 16:00:00,4019.32
NQ,2022-11-30 16:00:00,10034.32
NQ,2022-12-07 16:00:00,-595.68
NQ,2022-12-08 16:00:00,2959.32
NQ,2022-12-19 16:00:00,-2565.68
NQ,2022-12-20 16:00:00,2179.32
NQ,2023-01-05 16:00:00,-135.68
NQ,2023-02-13 16:00:00,2644.32
NQ,2023-02-21 16:00:00,-3380.68
NQ,2023-02-22 16:00:00,249.32
NQ,2023-04-06 16:00:00,3749.32
NQ,2023-04-13 16:00:00,2474.32
NQ,2023-05-04 16:00:00,154.32
NQ,2023-06-21 16:00:00,-2925.68
NQ,2023-07-24 16:00:00,-680.68
NQ,2023-08-07 16:00:00,2004.32
NQ,2023-08-11 16:00:00,664.32
NQ,2023-08-18 16:00:00,1589.32
NQ,2023-09-22 16:00:00,-575.68
NQ,2023-09-25 16:00:00,1914.32
NQ,2023-10-20 16:00:00,-4215.68
NQ,2023-10-23 16:00:00,4494.32
NQ,2023-12-04 16:00:00,449.32
NQ,2024-01-03 16:00:00,-1810.68
NQ,2024-01-04 16:00:00,-475.68
NQ,2024-01-05 16:00:00,-0.68
NQ,2024-02-28 16:00:00,-1260.68
NQ,2024-04-22 16:00:00,1099.32
NQ,2024-05-31 16:00:00,-955.68
NQ,2024-06-25 16:00:00,2919.32
NQ,2024-07-26 16:00:00,804.32
NQ,2024-08-06 16:00:00,2029.32
NQ,2024-09-06 16:00:00,-9430.68
NQ,2024-11-14 16:00:00,-2020.68
NQ,2024-11-15 16:00:00,-3970.68
NQ,2024-11-18 16:00:00,1839.32
NQ,2024-12-20 16:00:00,5749.32
NQ,2024-12-31 16:00:00,-3320.68
NQ,2025-01-02 16:00:00,-645.68
NQ,2025-02-25 16:00:00,-2350.68
NQ,2025-02-26 16:00:00,789.32
NQ,2025-03-06 16:00:00,-1500.68
NQ,2025-03-31 16:00:00,8159.32
NQ,2025-04-01 16:00:00,3939.32
NQ,2025-04-02 16:00:00,-7565.68
NQ,2025-04-22 16:00:00,2969.32
NQ,2025-05-23 16:00:00,924.32
NQ,2025-08-19 16:00:00,-4195.68
NQ,2025-08-20 16:00:00,-85.68
NQ,2025-08-21 16:00:00,-695.68
NQ,2025-08-22 16:00:00,5199.32
NQ,2025-09-26 16:00:00,1099.32
NQ,2025-11-14 16:00:00,6259.32
NQ,2025-11-17 16:00:00,-5075.68
NQ,2025-11-18 16:00:00,-2465.68
NQ,2025-11-19 16:00:00,4304.32
