date,strategy_return,benchmark_return,signal_date,entry_date,strategy_equity,benchmark_equity
2024-06-25,0.03378215151990649,0.0038509636422781046,2024-05-10,2024-05-13,1.1863646947318205,1.0492940436288938
2024-06-26,0.0012292885030817935,0.001248037323762441,2024-05-10,2024-05-13,1.1878230792115165,1.0506036017589442
2024-06-27,-0.00953327868601006,0.0015762949369151347,2024-05-10,2024-05-13,1.1764992307677185,1.0522596628971017
2024-06-28,-0.0018146632696751652,-0.003934877537230652,2024-05-10,2024-05-13,1.174364280826843,1.048119149986234
2024-07-01,0.003075935732662294,0.0020578883736119824,2024-05-10,2024-05-13,1.1779765498814008,1.0502760621991507
2024-07-02,-0.006556705381433214,0.006729854689488501,2024-05-10,2024-05-13,1.1702529046975911,1.0573442674815992
2024-07-03,0.022866177491252193,0.0044626316745368655,2024-05-10,2024-05-13,1.1970121153260598,1.0620628055005525
2024-07-05,-0.009549345190818515,0.005766470326189266,2024-05-10,2024-05-13,1.1855814334392194,1.0681871591530208
2024-07-08,0.00941740846424799,0.0011539402339857396,2024-05-10,2024-05-13,1.196746538065545,1.0694197832933943
2024-07-09,0.012402553280875916,0.0009724797762926674,2024-05-10,2024-05-13,1.211589250767607,1.0704597724050144
2024-07-10,0.013434335300455902,0.009895080949662294,2024-05-10,2024-05-13,1.2278661470088472,1.0810520585063192
2024-07-11,-0.02783344207816002,-0.00862239232945372,2024-05-10,2024-05-13,1.1936904057263429,1.0717308035293143
2024-07-12,0.0072213726051157945,0.00630754403454814,2024-05-10,2024-05-13,1.2023104889212446,1.078490792765757
2024-07-15,-0.0030949854538105392,0.0027500089307683773,2024-05-10,2024-05-13,1.1985893554470695,1.0814566520776143
2024-07-16,-0.008097183916871531,0.005930192553132541,2024-05-10,2024-05-13,1.18888415699521,1.0878698982623007
2024-07-17,-0.03311971884969667,-0.01402117447015827,2024-05-10,2024-05-13,1.14950864797067,1.0726166846179317
2024-07-18,0.013136695159205458,-0.007684925119563979,2024-05-10,2024-05-13,1.1646093926619312,1.0643737057146478
2024-07-19,-0.0130480870416263,-0.006640492151253841,2024-05-10,2024-05-13,1.1494134679369827,1.0573057404758488
2024-07-22,0.023785277962173446,0.01030981082560789,2024-05-10,2024-05-13,1.1767525867653297,1.068206362644984
2024-07-23,-0.0038449273891089653,-0.0015685215257669194,2024-05-10,2024-05-13,1.1722280585142708,1.0665308579712143
2024-07-24,-0.034015837242126146,-0.02266248082266531,2024-05-10,2024-05-13,1.1323537396651957,1.0423606228556608
2024-07-25,-0.008621364669311182,-0.005210392136385078,2024-05-10,2024-05-13,1.1225913051408838,1.0369295152630562
2024-07-26,0.0034734286751310073,0.01119971183544255,2024-05-10,2024-05-13,1.126490545970613,1.0485428270276675
2024-07-29,-0.006501007064677045,0.000587779587347903,2024-05-10,2024-05-13,1.1191672229729661,1.0491591390978545
2024-07-30,-0.035218196524793466,-0.005066463587138137,2024-05-10,2024-05-13,1.0797521717701968,1.0438436125225021
2024-07-31,0.0640605285857232,0.01625470055299938,2024-05-10,2024-05-13,1.148921666635378,1.0608109778682164
2024-08-01,-0.033370365893742426,-0.01416102580487788,2024-05-10,2024-05-13,1.110581730236507,1.0457888062365268
2024-08-02,-0.008881966166774113,-0.018618386879309612,2024-05-10,2024-05-13,1.1007175808831091,1.0263179056479639
2024-08-05,-0.031788900798295494,-0.029123758901492658,2024-05-10,2024-05-13,1.0657269788974761,0.9964276704075877
2024-08-06,0.018914898496470878,0.009219646126127357,2024-05-10,2024-05-13,1.0858850965282725,1.0056143809190272
2024-08-07,-0.025611575677026044,-0.006684115095178189,2024-05-10,2024-05-13,1.058073868201984,0.9988927386555981
2024-08-08,0.030633968002828804,0.02311725583104063,2024-05-10,2024-05-13,1.0904868692251128,1.0219843976428684
2024-08-09,-0.0010479204549040944,0.004409753718971787,2024-05-10,2024-05-13,1.0893441257290475,1.0264910971411052
